aljabar linier elementer versi aplikasi; edisi kedelapan- jilid 1,kalkulus: edisi kesembilan jilid 2,metode numerik revisi ketiga,prinsip-prinsip elektronika edisi ketiga jilid 1,schaums outlines: persamaan diferensial edisi ketiga,,,,,,,,,,,,,,,,,,,
hukum ekonomi islam,seni mengajar dengan hati: don`t be a teacher unless you have love to share,,,,,,,,,,,,,,,,,,,,,,
dasar-dasar biokimia jilid 1,elektrokimia dan aplikasinya,spectroscopic methods in organic chemistry fourth edition revised,transport phenomena,,,,,,,,,,,,,,,,,,,,
modul : praktikum akuntansi berbasis pembelajaran kolaboratif,pengantar bisnis,,,,,,,,,,,,,,,,,,,,,,
mudah belajar java: revisi kedua,,,,,,,,,,,,,,,,,,,,,,,
akuntansi perpajakan,kekayaan hati: jadikan hidup anda lebih bermakna,kisah-kisah teladan : 20 panglima perang islam,sejarah pemikiran ekonomi islam edisi ketiga,seri psikologi wanita: self therapy: rembulan menggugah malam,tidakkah kamu berpikir,,,,,,,,,,,,,,,,,,
manusia & lingkungan: dengan berbagai perubahannya,metoda logika ilmu sosial,stranger than fanfiction,the alchemy of air; kisah pengusaha sukses ilmuwan jenius dan misi  mengubah udara menjadi makanan ,,,,,,,,,,,,,,,,,,,,
bait surau,biopsikologi: biological psychology buku 1 edisi 9,konsensus dan konflik politik: sebuah penjajagan teoritis,life-span development = perkembangan masa-hidup edisi ketigabelas jilid 1,pengantar sosiologi politik,psikologi umum : sebuah pandangan apresiatif  buku 2,teori kepribadian: theories of personality buku 1 edisi 7,the da peci code: misteri tak berbahaya di balik tradisi berpeci,,,,,,,,,,,,,,,,
pengantar sosiologi politik,,,,,,,,,,,,,,,,,,,,,,,
matematika dasar,,,,,,,,,,,,,,,,,,,,,,,
anak semua bangsa,why we live where we live,,,,,,,,,,,,,,,,,,,,,,
dasar-dasar ilmu pendidikan edisi revisi,landasan psikologi proses pendidikan,pengantar pendidikan,,,,,,,,,,,,,,,,,,,,,
ayahku ( bukan ) pembohong,stranger than fanfiction,the norton anthology english literature: the restoration and the eighteenth century volume c,,,,,,,,,,,,,,,,,,,,,
fisika: prinsip dan aplikasi edisi ketujuh jilid 1,kalkulus: edisi kesembilan jilid i,kimia dasar: prinsip-prinsip & aplikasi modern edisi kesembilan jilid 3,pengantar pendidikan,standarisasi pendidikan nasional suatu tinjauan kritis,,,,,,,,,,,,,,,,,,,
kalkulus: edisi kedelapan jilid 1,modul pembelajaran struktur data,php & mysql dengan editor dreamweaver mx,sistem operasi,the gifts of imperfection: kekuatan menerima diri apa adanya,,,,,,,,,,,,,,,,,,,
pemrograman web mencakup: html css javascript & php,,,,,,,,,,,,,,,,,,,,,,,
manajemen sumber daya manusia: membangun tim kerja yang solid untuk meningkatkan kinerja,metodelogi penelitian bisnis: disertai contoh proposal penelitian bidang ilmu ekonomi dan manajemen,,,,,,,,,,,,,,,,,,,,,,
teori dan konsep administrasi: dari pemikiran paradigmatik menuju redefinisi,,,,,,,,,,,,,,,,,,,,,,,
modul kekayaan intelektual lanjutan: desain industri,,,,,,,,,,,,,,,,,,,,,,,
kitab undang-undang hukum perdata (kuh per),,,,,,,,,,,,,,,,,,,,,,,
geologi dasar,geologi minyak dan gas bumi: untuk geologist pemula,geologi umum: bagian kedua,geologi umum: bagian pertama,,,,,,,,,,,,,,,,,,,,
kopi internasional dan indonesia,,,,,,,,,,,,,,,,,,,,,,,
sejak indische sampai indonesia,,,,,,,,,,,,,,,,,,,,,,,
university physics second edition with suplementary problems,,,,,,,,,,,,,,,,,,,,,,,
geologi umum: bagian pertama,,,,,,,,,,,,,,,,,,,,,,,
tafsir al- quran wanita,,,,,,,,,,,,,,,,,,,,,,,
termodinamika teknik: edisi 4 jilid 1,,,,,,,,,,,,,,,,,,,,,,,
pengantar ilmu komunikasi,,,,,,,,,,,,,,,,,,,,,,,
fisika dasar edisi 7 jilid 2,university physics second edition with suplementary problems,,,,,,,,,,,,,,,,,,,,,,
psikologi perkembangan: suatu pendekatan sepanjang rentang kehidupan edisi kelima,,,,,,,,,,,,,,,,,,,,,,,
pengantar anatomi tumbuh-tumbuhan: tentang sel & jaringan,,,,,,,,,,,,,,,,,,,,,,,
psikologi sosial jilid 1 edisi kesepuluh,,,,,,,,,,,,,,,,,,,,,,,
pemrograman c++ : mudah dan cepat menjadi master c++ dengan mengungkap rahasia-rahasia pemrograman dalam c++,,,,,,,,,,,,,,,,,,,,,,,
metode penelitian kualitatif: untuk ilmu-ilmu sosial,,,,,,,,,,,,,,,,,,,,,,,
geologi dasar,geologi umum: bagian kedua,geologi untuk perencanaan,,,,,,,,,,,,,,,,,,,,,
pendidikan kewarganegaraan: untuk pendidikan tinggi,,,,,,,,,,,,,,,,,,,,,,,
management: manajemen edisi 6 buku 1,manajemen kepemimpinan dan kolaborasi dalam dunia yang kompetitif buku 1 edisi 7,,,,,,,,,,,,,,,,,,,,,,
komunikasi pembangunan: pengenalan teori dan penerapannya edisi revisi,,,,,,,,,,,,,,,,,,,,,,,
pendekatan statistika modern: untuk ilmu sosial,statistics for the behavioral and social sciences  a brief course fifth edition,,,,,,,,,,,,,,,,,,,,,,
complete english grammar for the toefl test: langkah jitu melejitkan score toefl test,pemimpin dan kepemimpinan: apakah kepemimpinan abnormal itu?,sistem hukum indonesia: prinsip-prinsip & implementasi hukum di indonesia,,,,,,,,,,,,,,,,,,,,,
demokrasi hak asasi manusia masyarakat madani.,,,,,,,,,,,,,,,,,,,,,,,
fisika batuan: pendekatan estimasi permeabilitas dan saturasi air berbasiskan data seismik,geologi umum: bagian kedua,pengantar teknik geofisika,,,,,,,,,,,,,,,,,,,,,
